op,calls_per_forward,mean_ms_per_forward,mean_ms_per_call,total_ms_all_iters,pct_of_total
aten::mkldnn_convolution,31.0,6.3947810000000125,0.20628325806451656,639.4781000000013,69.19695990410148
aten::_slow_conv2d_forward,10.0,0.41861199999998755,0.04186119999999875,41.86119999999875,4.529737262210356
aten::cat,8.0,0.32959699999999514,0.04119962499999939,32.959699999999515,3.5665193840902067
aten::copy_,20.0,0.28379299999999485,0.014189649999999743,28.379299999999485,3.070881214237716
aten::_convolution,41.0,0.2706249999999481,0.006600609756096295,27.06249999999481,2.9283922739565016
aten::clamp,9.0,0.20340599999997658,0.022600666666664063,20.340599999997657,2.2010256217143347
aten::sum,9.0,0.19181900000000168,0.02131322222222241,19.18190000000017,2.0756444437807846
forward,1.0,0.1869459999999597,0.1869459999999597,18.69459999999597,2.0229144463632673
aten::mul,8.0,0.17813900000000601,0.022267375000000752,17.8139000000006,1.9276152287869008
aten::empty,88.0,0.06955400000001967,0.0007903863636365871,6.9554000000019665,0.7526333347727194
aten::transpose,25.0,0.06297199999998968,0.002518879999999587,6.297199999998967,0.6814105063301393
aten::div_,9.0,0.06033800000002727,0.006704222222225252,6.033800000002727,0.6529083899347848
aten::view,23.0,0.05096400000000712,0.0022158260869568317,5.096400000000712,0.5514737509467664
aten::as_strided_,31.0,0.045941999999992496,0.0014819999999997578,4.594199999999249,0.4971314470212044
aten::mean,9.0,0.04192400000000232,0.00465822222222248,4.192400000000232,0.453653275541368
aten::as_strided,96.0,0.039395000000039156,0.0004103645833337412,3.9395000000039153,0.42628734829617804
aten::squeeze,16.0,0.035400000000005774,0.002212500000000361,3.5400000000005774,0.38305805634400725
aten::sigmoid,8.0,0.03384300000000024,0.00423037500000003,3.384300000000024,0.3662099943742434
aten::unsqueeze,24.0,0.03336000000001792,0.0013900000000007465,3.3360000000017918,0.3609835242836401
aten::resize_,41.0,0.025375999999999,0.0006189268292682683,2.5375999999999,0.2745898654741118
aten::clone,8.0,0.02513600000002719,0.0031420000000033986,2.513600000002719,0.2719928617025935
aten::_to_copy,9.0,0.02287599999997664,0.002541777777775182,2.287599999997664,0.24753774285070995
aten::narrow,14.0,0.022583000000040244,0.0016130714285743032,2.2583000000040245,0.24436723407996389
aten::slice,14.0,0.019805999999969313,0.0014147142857120938,1.9805999999969313,0.21431773626939027
aten::hardtanh_,9.0,0.01816600000001611,0.0020184444444462345,1.8166000000016111,0.19657154382910375
aten::split,4.0,0.016939999999983857,0.004234999999995964,1.6939999999983857,0.18330518289435707
aten::contiguous,8.0,0.016367000000003268,0.0020458750000004085,1.6367000000003267,0.17710483638933885
aten::adaptive_avg_pool2d,9.0,0.01583499999998443,0.0017594444444427144,1.583499999998443,0.17134814469492657
aten::expand,9.0,0.015484999999990796,0.0017205555555545328,1.5484999999990796,0.16756084752775308
aten::fill_,9.0,0.013773999999989907,0.001530444444443323,1.3773999999989908,0.1490463748044528
aten::hardtanh,9.0,0.013169999999999325,0.0014633333333332582,1.3169999999999324,0.14251058197879926
aten::thnn_conv2d,10.0,0.01210000000002026,0.0012100000000020259,1.210000000002026,0.1309322734963133
aten::addmm,1.0,0.010711999999994877,0.010711999999994877,1.0711999999994877,0.11591293501566027
aten::empty_like,8.0,0.010564999999986908,0.0013206249999983635,1.0564999999986908,0.11432227020533223
aten::to,18.0,0.010091000000019803,0.0005606111111122113,1.0091000000019803,0.10919318775633707
aten::chunk,4.0,0.008966000000007848,0.002241500000001962,0.8966000000007848,0.09701973257578574
aten::empty_strided,9.0,0.008277000000013444,0.0009196666666681604,0.8277000000013444,0.08956416758090341
aten::expand_as,8.0,0.007562999999998601,0.0009453749999998252,0.7562999999998601,0.08183808135956831
chunk,4.0,0.006030999999985386,0.0015077499999963464,0.6030999999985386,0.0652605406159529
aten::linear,1.0,0.0027600000000050206,0.0027600000000050206,0.27600000000050207,0.0298655433760229
aten::t,1.0,0.0022520000000021173,0.0022520000000021173,0.22520000000021173,0.024368552058965386
aten::detach,2.0,0.0018349999999996544,0.0009174999999998272,0.18349999999996544,0.019856258005395658
aten::flatten,1.0,0.0016329999999991924,0.0016329999999991924,0.16329999999991923,0.017670446497439336
aten::reshape,2.0,0.001374999999991469,0.0006874999999957345,0.1374999999991469,0.014878667442645653
aten::resolve_conj,2.0,0.0003350000000067666,0.0001675000000033833,0.03350000000067666,0.0036249844315766533
